location_full,latitude,longitude,n
"Plesetsk Cosmodrome, Russia",62.9310706,40.5314609,1278
"Baikonur Cosmodrome, Kazakhstan",45.9178932,63.4083721,719
"Cape Canaveral Space Force Station, Florida",28.4896595,-80.5648368,658
"Vandenberg AFB, California",34.7519092,-120.534267,442
"Starbase, Texas, USA",25.9914611,-97.1829783,320
"Guiana Space Centre, French Guiana",5.2123751,-52.7738833,314
"Kennedy Space Center, Florida",28.5242796,-80.6818558,205
"Vandenberg Space Force Base, USA",34.7088437,-120.5447422,163
"Jiuquan Satellite Launch Center, China",40.964989,100.2838215,142
"Xichang Satellite Launch Center, China",28.2457616,102.027938,128
"Kapustin Yar, Russia",48.575634,45.766895,112
"Tanegashima Space Center, Japan",30.3943415,130.9577895,88
"Satish Dhawan Space Centre, India",13.6280508,80.2256425,82
"Taiyuan Launch Center, Shanxi, China",38.849,111.608,66
"Cape Canaveral SFS, Florida",28.4665327,-80.5631981,48
"Kiritimati Launch Area, Kiribati",1.872,-157.427,36
"Wallops Flight Facility, Virginia",37.9352382,-75.4696956,36
"Uchinoura Space Center, Japan",31.2540782,131.0796178,35
"Mahia Peninsula Launch Complex, New Zealand",-39.261,177.865,28
"West Texas, Texas",26.1717097,-98.1628013,21
"Wenchang Space Launch Site, Hainan, China",19.6286436,110.9601268,18
"Vandenberg SFB, California",34.7519092,-120.534267,15
"Semnan Space Center, Iran",35.2215336,53.8970568,14
"TX, USA",31.2638905,-98.5456116,12
China,35.000074,104.999927,11
"Palmachim Airbase, Israel",31.885,34.685,11
"Vostochny Cosmodrome, Russia",51.8531816,128.3451379,11
"Yasny Launch Base, Russia",51.038,59.878,10
"Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands",8.7250998,167.7377205,9
"San Marco Platform, Malindi, Kenya",-2.937,40.212,9
Japan,36.5748441,139.2394179,7
"Spaceport America, New Mexico",32.2704569,-106.7429668,7
"Naval Air Station Point Mugu, California",34.1141518,-119.1180463,6
"Woomera Test Range, South Australia",-31.15,136.82,6
"Edwards AFB, California",34.9119057,-117.8832412,5
"Mojave Air and Space Port, California",35.059,-118.153,5
"Naro Space Center, South Korea",34.438104,127.5255704,5
"Pacific Spaceport Complex, Kodiak",57.4429518,-152.3652906,5
Russia,64.6863136,97.7453061,5
"Starbase, Texas",25.9914611,-97.1829783,5
"Hammaguir, Algeria",30.8793607,-3.0672241,4
"Alcantara Launch Center, Brazil",-2.3364467,-44.3979078,3
"Barents Sea Launch Area, Russia",73,35,3
"Pacific Spaceport Complex, Alaska",57.4429518,-152.3652906,3
"Shahrud Missile Test Site, Iran",36.35,55,3
"Sohae Satellite Launching Station, North Korea",39.6609592,124.6992349,3
Yellow Sea,36.0000002,123.9999998,3
"Gando Airbase, Canary Islands, Spain",27.94,-15.39,2
"Tonghae Satellite Launching Ground, North Korea",40.8563179,129.661218,2
"Boca Chica, Texas",32.2178521,-96.0370219,1
"Kauai, Pacific Missile Range Facility",22.0259646,-159.7846058,1
